Title,kinopoiskId,Year,Rating Kinopoisk
Материнский инстинкт,4967684,2024,7.15
Приключения Паддингтона 2,906042,2017,8.263
Семь жизней,395787,2008,8.21
Книга Илая,424266,2009,7.194
Экипаж,839818,2016,7.86
"Артур, ты король",1402937,2024,8.285
В августе 44-го,41381,2001,8.358
Кунг-фу жеребец,4632862,2023,7.955
Апгрейд,1009784,2018,7.633
"Я, робот",4886,2004,7.829
Джон Уик 3,1009536,2019,7.05
Тор,258941,2011,7.091
"Три билборда на границе Эббинга, Миссури",944098,2017,8.136
Дом странных детей Мисс Перегрин,648440,2016,6.91
Ла-Ла Ленд,841081,2016,8.047
Уроки фарси,1209777,2020,7.969
О чём говорят мужчины,468102,2010,7.86
Назад в будущее 2,5502,1989,8.318
Жизнь Дэвида Гейла,738,2002,8.124
Реальные упыри,818981,2014,7.455
Маме снова 17,5367009,2024,7.526
Мстители: Эра Альтрона,679830,2015,7.258
Дневник памяти,3561,2004,8.256
Злой город,1237984,2025,7.712
Гренландия,1164520,2020,7.012
Никто,1309596,2021,7.378
Люси,760326,2014,6.765
Непосредственно Каха!,1345717,2020,4.628
Васаби,14288,2001,7.811
Война миров Z,261636,2013,7.019
Балерина,1047492,2025,7.215
Я худею,842037,2018,6.901
Обливион,470185,2013,7.229
Старикам тут не место,195434,2007,7.826
Реквием по мечте,367,2000,8.023
Последний богатырь: Посланник Тьмы,1272246,2021,7.227
Иллюзия обмана 3,915178,2025,7.109
Зависнуть в Палм-Спрингс,1245524,2020,7.303
Малефисента,496849,2014,7.237
Солнцестояние,1178137,2019,6.417
Амели,341,2001,8.041
Малышка на миллион,81297,2004,8.168
Сумерки,401177,2008,6.707
Подольские курсанты,1191022,2020,8.408
Безумный Макс: Дорога ярости,453406,2015,7.845
Иллюзионист,102198,2005,8.021
Василий,5377802,2024,6.995
Крестный отец,325,1972,8.709
Револьвер,18973,2005,7.334
Форсаж,666,2001,7.827
Звук свободы,1134493,2023,8.122
Грязь,467293,2013,7.655
Прибытие,718811,2016,7.645
Пираты Карибского моря: На странных берегах,427076,2011,7.314
Чёрная Пантера,623250,2018,6.654
Прислуга,470553,2011,8.247
Небриллиантовая рука,5454852,2024,6.489
Голодные игры: И вспыхнет пламя,602373,2013,7.476
Небо,1421591,2021,8.326
Трансформеры,81288,2007,7.606
"Знакомьтесь, Джо Блэк",5059,1998,8.08
Алиса в Стране чудес,405609,2010,7.133
Ван Хельсинг,3491,2004,7.607
Хоббит: Битва пяти воинств,694633,2014,7.912
Мальчишник в Вегасе,426004,2009,7.874
Человек-паук: Возвращение домой,690593,2017,7.167
Гонка,596125,2013,8.132
Невероятные приключения Шурика,9026160,2025,6.435
Баба Яга спасает Новый год,5958246,2024,7.503
Реальная любовь,6144,2003,7.958
Треугольник печали,1348487,2022,6.497
Первый мститель: Противостояние,822708,2016,7.411
Волшебник Изумрудного города. Дорога из жёлтого кирпича,5047471,2024,7.106
Варкрафт,277328,2016,7.638
Пираты Карибского моря: Мертвецы не рассказывают сказки,575180,2017,6.695
Родные,1274271,2021,7.433
Стажёр,677893,2015,7.659
Группа крови,5364887,2025,8.308
Хэнкок,102151,2008,7.409
Великий уравнитель,196707,2014,7.108
Туда,6440213,2025,7.44
Апокалипсис,160977,2006,8.07
Онегин,5117258,2024,7.399
Человек дождя,519,1988,8.235
Мотылёк,939411,2017,7.936
2012,413447,2009,6.906
На деревню дедушке,6441870,2025,7.722
Призрак,839960,2015,7.111
Изгой,627,2000,8.256
Дневник Бриджит Джонс,621,2001,7.441
Человек-паук 3: Враг в отражении,82441,2007,7.129
Аладдин,1007049,2019,7.297
Дракула,5456450,2025,6.996
Такси 2,854,2000,7.784
Мумия,4484,1999,7.832
Звёздные войны: Эпизод 3 – Месть ситхов,5619,2005,8.128
Дружить по-русски!,1246627,2019,7.132
Мажор в Дубае,6299421,2025,6.687
Шестое чувство,395,1999,8.184
Отряд самоубийц: Миссия навылет,1008477,2021,6.683
Тело,609349,2012,7.34
Калашников,1188248,2020,7.907
Сплит,930534,2017,7.048
Добро пожаловать в Zомбилэнд,427122,2009,7.42
Облачный атлас,464484,2012,7.765
Бэтмен: Начало,47237,2005,7.933
Троя,3442,2004,8.065
Одиннадцать друзей Оушена,770,2001,8.08
Майор Гром: Игра,5249455,2024,7.463
Последний охотник на ведьм,506066,2015,6.273
Мой любимый враг,1282222,2021,7.116
Убойные каникулы,485261,2010,7.694
Джунгли,893843,2017,7.168
Папины дочки. Мама вернулась,8240803,2025,7.912
"Два, три, демон, приди!",4948328,2022,6.437
Бриджит Джонс. Без ума от мальчишки,5504100,2025,7.242
Первый мститель,160946,2011,6.736
Мистер и миссис Смит,12090,2005,7.552
Няньки,18120,1994,7.229
Человек-паук 2,2898,2004,7.368
Сказка о царе Салтане,5406497,2025,6.797
Звёздные войны: Эпизод 1 – Скрытая угроза,6695,1999,7.924
Новый Человек-паук,278217,2012,6.946
Пролетая над гнездом кукушки,336,1975,8.508
Капитан Марвел,843859,2019,6.486
Мементо,335,2000,7.871
Опасная игра Слоун,933307,2016,8.034
Социальная сеть,427198,2010,7.724
Своя война. Шторм в пустыне,1395461,2021,7.476
Не одна дома,5368248,2023,7.61
Пол: Секретный материальчик,427855,2011,7.237
Назад в будущее 3,7103,1990,8.195
Рай под ногами матерей,5459137,2024,8.578
Американская история X,382,1998,8.293
Бегущий в лабиринте,575613,2014,6.83
12 стульев,46789,1971,8.307
Всегда говори «ДА»,391772,2008,7.81
Серебряные коньки,1225587,2020,7.857
Приключения Паддингтона,463897,2014,7.302
Знакомство родителей,5333364,2025,7.409
Господин Никто,232785,2009,7.917
После,1098154,2019,6.096
План побега,463686,2013,7.135
Красотка на всю голову,1074222,2018,6.892
Тихое место,1044906,2018,6.842
Терминатор,507,1984,7.984
Логан,807682,2017,7.676
Привидение,1991,1990,8.18
Воздух,1311129,2023,6.863
Чёрная Вдова,823956,2021,6.304
Непослушная,5189350,2023,5.82
Отель Мумбаи: Противостояние,958519,2018,8.058
Чудо,722951,2017,8.234
Планета Ка-Пэкс,723,2001,8.079
Убийство в Восточном экспрессе,817969,2017,6.901
Чёрный лебедь,278273,2010,7.745
Принц Персии: Пески времени,195394,2010,7.325
Прометей,467099,2012,7.022
Яга на нашу голову,6638233,2025,7.887
Моё прекрасное несчастье,4700336,2022,6.572
Материалистка,5446941,2025,6.447
Мы — Миллеры,582170,2013,7.249
Кин-дза-дза!,44811,1986,8.14
Мизантроп,1263902,2022,7.12
Телохранитель на фрилансе,4850165,2023,6.766
Механик,195615,2010,6.794
Я иду искать,1198736,2019,6.933
Первый мститель: Другая война,676266,2014,7.267
Мальчик в полосатой пижаме,281251,2008,8.19
Невидимый гость,959365,2016,7.904
Отпетые мошенницы,428711,2019,6.526
Тор 2: Царство тьмы,595938,2013,7.217
Люди в чёрном 3,455773,2012,7.249
Чебурашка. Выходной,5431615,2023,8.177
Морозко,46701,1964,8.141
Семь психопатов,586584,2012,7.337
Убить Билла,2717,2003,7.731
Третий лишний,507817,2012,6.727
Меч короля Артура,824437,2017,7.173
Боги Египта,682886,2016,6.234
Эквилибриум,309,2002,7.883
Невидимая сторона,450213,2009,8.194
Мира,1227997,2022,7.484
Молодой человек,4400203,2022,7.274
Плагиатор,4728560,2025,7.361
Семьянин,664,2000,7.976
Чужой,386,1979,8.078
Метро,521689,2012,7.218
Девушка с татуировкой дракона,491724,2011,7.755
Крепкий орешек,471,1988,8.045
Ветреная река,958442,2016,7.699
Шерлок Холмс: Игра теней,474953,2011,7.856
Миллионер из трущоб,413362,2008,7.796
Звёздные войны: Эпизод 4 – Новая надежда,333,1977,8.107
Пиджак,47382,2004,7.763
Игра на понижение,501333,2015,7.387
...А зори здесь тихие,43395,1972,8.589
Афоня,43423,1975,8.161
Лёд 2,1227963,2020,7.674
Голодные игры: Сойка-пересмешница. Часть I,661911,2014,6.348
В джазе только девушки,356,1959,8.45
Реинкарнация,1112132,2018,6.359
Унесённые ветром,456,1939,8.512
Неприличные гости,5325609,2024,6.528
Разрушение,842493,2015,7.207
Сонная Лощина,5622,1999,7.929
Храброе сердце,399,1995,8.293
Левша,573990,2015,7.492
Один день,495518,2011,7.872
Простая просьба,1068627,2018,7.016
Олдбой,75871,2003,8.053
Тренер,981230,2018,7.234
Фантастические твари: Преступления Грин-де-Вальда,843479,2018,6.716
1941. Крылья над Берлином,4533880,2022,7.645
Знамение,102510,2009,6.906
Кухня в Париже,795847,2014,6.882
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,77263,1981,8.67
Большой Лебовски,555,1998,7.814
Стрелок,257898,2007,7.67
Гром: Трудное детство,4771048,2023,7.127
Шальная императрица,9082975,2025,7.631
Человек-муравей,195496,2015,7.094
Уикенд с батей,4477067,2023,7.09
Мой парень – псих,462938,2012,7.209
Спасти рядового Райана,371,1998,8.188
Хранители,252641,2009,7.692
"Гангстер, коп и дьявол",1177510,2019,7.322
Ночной дозор,79850,2004,6.299
Братья,253761,2009,7.358
До встречи с тобой,807318,2016,7.308
Малыш на драйве,902939,2017,7.193
Жизнь Пи,158786,2012,7.831
Люди в чёрном 2,6379,2002,7.315
Ярость,740644,2014,7.397
Оппенгеймер,4664634,2023,8.09
Запах женщины,4871,1992,8.445
Роднина,5089019,2025,8.286
Джуманджи: Зов джунглей,695609,2017,6.915
Район №9,397494,2009,7.772
Невероятная жизнь Уолтера Митти,6034,2013,7.73
Монах и бес,742184,2016,7.236
Шерлок Холмс и доктор Ватсон: Знакомство,77269,1979,8.627
Большая игра,976636,2017,7.84
Залечь на дно в Брюгге,276295,2007,7.79
Охота на воров,916105,2018,7.281
Искупление,255611,2007,8.068
Буратино,5354680,2025,7.044
Другие,494,2001,7.921
Kingsman: Золотое кольцо,906654,2017,6.968
Типа крутые легавые,93377,2007,7.668
Одаренная,929348,2017,7.955
Сергей Орлов. Переходный возраст,11385623,2026,8.752
Хоккейные папы,4920181,2023,8.312
Гран Торино,408410,2008,8.142
Рок-н-рольщик,378140,2008,7.839
2+1,934130,2016,7.451
Обитель проклятых,572035,2014,7.284
Братья,5995316,2024,6.13
Мистер Нокаут,1234853,2022,7.686
Каникулы строгого режима,417840,2009,7.099
Не смотрите наверх,1338480,2021,7.476
Звёздные войны: Эпизод 5 – Империя наносит ответный удар,338,1980,8.138
Джон Картер,77540,2012,6.93
Любовь Советского Союза,5047469,2024,7.348
Лёд,900052,2017,7.032
Большой Стэн,231150,2007,7.068
Бешеные псы,394,1991,8.112
Пленницы,455194,2013,7.811
Белая птица: Новое чудо,4384109,2023,8.42
Баба Мороз и тайна Нового года,5368179,2023,7.621
Круиз по джунглям,462059,2021,6.835
Пятьдесят оттенков серого,688832,2015,4.421
Сёстры,41109,2001,7.81
Звёздные войны: Эпизод 2 – Атака клонов,844,2002,7.985
Тихоокеанский рубеж,546915,2013,6.968
"Хроники Нарнии: Лев, колдунья и волшебный шкаф",48162,2005,7.316
Люди Икс: Дни минувшего будущего,597687,2014,7.728
Форсаж 7,754481,2015,7.033
Золото,577255,2016,7.424
Правила съема: Метод Хитча,77454,2005,7.782
Парфюмер: История одного убийцы,78378,2006,7.715
Невозможное,518037,2012,8.026
Майор Гром: Чумной Доктор. Расширенная версия,4742878,2021,7.85
От заката до рассвета,4815,1995,7.796
Прочь,944708,2017,7.15
Форсаж: Хоббс и Шоу,1044450,2019,6.334
"Дом, который построил Джек",942396,2018,7.017
Джуманджи,8161,1995,7.889
Время,1379090,2021,6.364
Домовой,1111102,2019,7.354
Битва за Севастополь,742026,2015,7.708
Солнцепек,4518766,2021,7.319
Свободные отношения,4533254,2022,6.927
Из Парижа с любовью,427202,2009,7.295
Командир,5277148,2023,7.873
Особенности национальной охоты,7653,1995,7.944
Мир Юрского периода,594554,2015,6.885
Она,577488,2013,7.661
Вася не в себе,5257393,2023,6.996
Воин,442568,2011,8.059
Бар «МоскваЧики»,5368403,2024,6.47
Сияние,409,1980,7.787
Ограбление на Бейкер-Стрит,77649,2008,7.421
"Красивый, плохой, злой",726805,2018,6.992
Белое солнце пустыни,46066,1969,8.185
Чрезвычайная ситуация,1297211,2021,7.279
"Человек, который изменил всё",432791,2011,7.752
Аферистка,1248786,2020,6.844
Побег из Претории,1055528,2020,7.209
500 дней лета,409372,2009,7.647
Джуманджи: Новый уровень,1112539,2019,6.665
Механик: Воскрешение,837525,2016,6.17
Звёздные войны: Эпизод 6 – Возвращение Джедая,447,1983,8.152
Самый пьяный округ в мире,461972,2012,7.461
Город грехов,77443,2005,7.867
Люди Икс: Начало. Росомаха,104904,2009,7.379
Офицеры,42736,1971,8.568
300 спартанцев,81924,2007,7.649
Форсаж 5,496943,2011,7.618
Зодиак,102838,2007,7.33
Астрал,495892,2010,6.805
Поехавшая,4686066,2023,7.957
Самая обаятельная и привлекательная,43602,1985,8.276
Спеши любить,875,2002,7.931
Война,41431,2002,8.208
Иди и смотри,42571,1985,8.354
Чемпион мира,1249233,2021,7.822
Обитель зла,801,2002,7.562
Пипец,419200,2010,6.923
Они сражались за Родину,42770,1975,8.562
Семейный переполох,5352587,2024,7.385
Звёздные войны: Пробуждение силы,714888,2015,7.06
Трансформеры: Месть падших,373391,2009,7.14
Быстрее пули,1392550,2022,7.688
Александр,4721,2004,7.237
Новый Человек-паук: Высокое напряжение,602409,2014,6.742
Глубоководный горизонт,607737,2016,7.276
Майор Пэйн,21503,1995,7.628
Брестская крепость,436263,2010,8.146
Патруль,584405,2012,7.739
Летчик,1405968,2021,7.75
28 дней спустя,577,2002,7.423
Грабитель с крыши,979438,2025,7.154
Дом Gucci,1449368,2021,7.172
Три мушкетёра: Д’Артаньян,4368100,2023,7.03
Матрица: Перезагрузка,299,2003,7.744
100 вещей и ничего лишнего,1121377,2018,7.267
Такси 3,14339,2003,7.184
Стекло,1044601,2019,6.59
Дело Коллини,1179501,2019,8.041
Лицо со шрамом,4695,1983,8.171
Оно 2,686898,2019,6.553
Гравитация,468466,2013,7.447
Малефисента: Владычица тьмы,916498,2019,7.074
Люди Икс: Первый класс,462358,2011,7.657
Чужие,406,1986,8.063
127 часов,484878,2010,7.652
Наша Russia. 8 марта,6267717,2025,6.552
Охота,647671,2012,7.947
Столкновение,61297,2004,7.799
Тайна 7 сестер,484628,2017,6.85
"С любовью, Рози",512784,2014,7.804
Простоквашино,5498755,2025,6.815
Человек-муравей и Оса,935940,2018,6.959
Фокус,680824,2014,7.08
"Добро пожаловать, или Посторонним вход воспрещен",44238,1964,8.322
Притяжение,840250,2017,5.841
Почему он?,930000,2016,6.729
Заклятие,468994,2013,7.335
Петля времени,463354,2012,7.023
Ученик чародея,429739,2010,6.851
Неудержимые,432550,2010,6.91
Экзамен,418762,2009,6.98
Пока не сыграл в ящик,258885,2007,8.059
Люби их всех,1142667,2019,7.176
Отель «Белград»,1206431,2020,6.887
Вечера на хуторе близ Диканьки,45694,1961,8.328
Платформа,1134778,2019,7.085
Лев,864138,2016,8.206
Три метра над уровнем неба,523362,2010,7.099
Великолепная поездка,4542189,2022,8.337
Джек Ричер,417583,2012,7.188
Ночь в музее,178580,2006,7.041
Курьер,45028,1986,8.048
Легенда о Коловрате,844118,2017,7.136
Люди Икс,886,2000,7.676
Агенты А.Н.К.Л.,518042,2015,7.556
Волк и лев,1304482,2021,8.003
Берегись автомобиля,46089,1966,8.239
Хэппи-энд,994530,2020,7.146
Казнь,1405778,2022,7.418
Голая правда,398239,2009,7.575
Вспомнить всё,2443,1990,7.711
В списках не значился,6224943,2025,7.603
Крик тишины,1228407,2019,8.569
Эдвард руки-ножницы,8421,1990,7.988
Сквозь снег,566283,2013,6.76
Одна жизнь,5105855,2023,8.533
Шпион,782792,2015,7.118
Робот по имени Чаппи,591485,2015,7.19
Астерикс и Обеликс: Миссия Клеопатра,595,2002,7.323
Город бога,439,2002,8.009
Война миров,81289,2005,7.102
Салют-7,893506,2017,7.84
Красота по-американски,351,1999,7.996
Человек из стали,252667,2013,6.939
Притворись моей женой,490323,2011,7.27
Маленькие женщины,807339,2019,7.821
Мачо и ботан,413080,2012,7.032
Гарри Поттер 20 лет спустя: Возвращение в Хогвартс,4716622,2022,8.047
Авиатор,5148793,2025,6.817
Невероятные приключения итальянцев в России,46421,1973,8.116
Вне/себя,655435,2015,7.033
Бэтмен против Супермена: На заре справедливости,770631,2016,6.762
Соник в кино,1016160,2020,6.709
Отличница лёгкого поведения,463046,2010,6.9
Заложница,276376,2007,7.895
Жизнь прекрасна,381,1997,8.63
Кибердеревня. Новый год,5413371,2023,7.78
"Не грози Южному Централу, попивая сок у себя в квартале",4807,1995,7.204
Мег: Монстр глубины,918627,2018,5.945
Как Витька Чеснок вёз Лёху Штыря в дом инвалидов,909700,2017,7.198
Телохранитель жены киллера,1125418,2020,6.867
Анчартед: На картах не значится,468373,2022,6.816
Трансформеры 3: Тёмная сторона Луны,452899,2011,6.85
Профиль,1112447,2018,7.308
Тройной форсаж: Токийский дрифт,106079,2006,6.926
Убежище,6548103,2026,7.172
Секс по дружбе,505811,2011,7.128
Анна,1049727,2019,6.727
Умница Уилл Хантинг,539,1997,8.095
Люди Икс: Апокалипсис,814016,2016,6.969
Судья,588672,2014,7.867
"Дивергент, глава 2: Инсургент",762225,2015,6.156
Свадьба в Малиновке,44045,1967,8.262
Мгла,273302,2007,7.603
Стрингер,760815,2013,7.353
Мэр поневоле,6332966,2025,6.912
Впритык,464282,2010,7.228
Шеф Адам Джонс,716595,2015,6.944
Синистер,590022,2012,6.688
Сердце пармы,1045585,2022,7.566
Карнавальная ночь,44720,1956,8.22
Зов предков,1060511,2020,7.666
Очень плохая училка,465673,2011,6.311
Дориан Грей,415663,2009,6.893
«V» значит Вендетта,86208,2006,7.823
Американский психопат,588,2000,7.152
Сайлент Хилл,78871,2006,7.18
Паркер,586475,2012,6.79
Солдатик,1254051,2018,8.232
В метре друг от друга,1151373,2019,7.414
1408,195563,2007,7.703
Бойфренд из будущего,662596,2013,7.912
К себе нежно,5462453,2026,7.332
На Луне,1311137,2019,7.189
Не одна дома 2,6359318,2025,7.875
Хищник,6303,1987,7.9
Форсаж 6,594736,2013,6.993
Сумерки. Сага. Новолуние,420224,2009,5.975
Красный призрак,1115648,2020,7.241
Полосатый рейс,43104,1961,8.1
Форсаж 9,964318,2021,5.717
